worktree	disk	tracked	untracked_on_disk	modified_tracked
/Users/svendaneel/okam/web-lint2defects	5	5	0	0
/Users/svendaneel/okam/web-lintrunnable	5	5	0	0
/Users/svendaneel/okam/web-lintruns	5	5	0	0
/Users/svendaneel/okam/web-meals-claim-receipt	3	3	0	0
/Users/svendaneel/okam/web-mealsdocsync	3	3	0	0
/Users/svendaneel/okam/web-mealsrecon	3	3	0	0
/Users/svendaneel/okam/web-menu-allergen	4	0	4	0
/Users/svendaneel/okam/web-mixinlabels	4	3	1	0
/Users/svendaneel/okam/web-mjloc	4	3	1	0
/Users/svendaneel/okam/web-modal-scrolllock	4	1	3	0
/Users/svendaneel/okam/web-modal-seven	5	2	3	0
/Users/svendaneel/okam/web-modal-two	5	0	5	0
/Users/svendaneel/okam/web-mpretick	4	3	1	0
/Users/svendaneel/okam/web-mrgcovunknown	3	3	0	0
/Users/svendaneel/okam/web-mrgpagevac	3	3	0	0
/Users/svendaneel/okam/web-mrgwastefe	3	3	0	0
/Users/svendaneel/okam/web-noonly	3	3	0	0
/Users/svendaneel/okam/web-paylabel	3	3	0	0
/Users/svendaneel/okam/web-playwright	3	0	3	0
/Users/svendaneel/okam/web-pos-clock	4	0	4	0
/Users/svendaneel/okam/web-preflight	3	3	0	0
/Users/svendaneel/okam/web-preflight-missing	3	3	0	0
/Users/svendaneel/okam/web-print-host	4	1	3	0
/Users/svendaneel/okam/web-provexcl	3	3	0	0
/Users/svendaneel/okam/web-rcptde	4	3	1	1
/Users/svendaneel/okam/web-receipt-discount-row	3	3	0	0
/Users/svendaneel/okam/web-statute	5	2	3	0
/Users/svendaneel/okam/web-statute-world	5	2	3	0
/Users/svendaneel/okam/web-suppkey	3	3	0	0
/Users/svendaneel/okam/web-suppressed	3	3	0	0
/Users/svendaneel/okam/web-tierartifacts	3	3	0	0
/Users/svendaneel/okam/web-unwitnessed	5	3	2	3
/Users/svendaneel/okam/web-vatkeys	3	3	0	0
/Users/svendaneel/okam/web-vocabsweep	3	3	0	0
/Users/svendaneel/okam/web-vue3shape	3	3	0	0
/Users/svendaneel/okam/web-wastereceipts	3	3	0	0
/Users/svendaneel/okam/web-wastereceipts-at7b99f2a	0	0	0	0
/Users/svendaneel/okam/web-wastereceipts-parent	0	0	0	0
/Users/svendaneel/okam/web-wf-adjust	2	2	0	0
/Users/svendaneel/okam/web-wf-contact	3	3	0	0
/Users/svendaneel/okam/web-wf-idreg	0	0	0	0
/Users/svendaneel/okam/web-wf-onboard	4	0	4	0
/Users/svendaneel/okam/web-wf-oplink	5	0	5	0
/Users/svendaneel/okam/web-wfack	5	5	0	0
/Users/svendaneel/okam/web-wfboot	3	3	0	0
/Users/svendaneel/okam/web-wfcorrect	3	3	0	0
/Users/svendaneel/okam/web-whoanswered	4	3	1	0
/Users/svendaneel/okam/web-wtbasename	3	3	0	0
/Users/svendaneel/okam/web-wtbasename-tax	3	3	0	0
/Users/svendaneel/okam/web-xz-residual	3	3	0	0
/Users/svendaneel/okam/wt-author	0	0	0	0
/Users/svendaneel/okam/wt-events	0	0	0	0
/Users/svendaneel/okam/wt-evtb	4	3	1	0
/Users/svendaneel/okam/wt-fe-exitmail	4	3	1	0
/Users/svendaneel/okam/wt-fe4	0	0	0	0
/Users/svendaneel/okam/wt-fe5	0	0	0	0
/Users/svendaneel/okam/wt-feclient	0	0	0	0
/Users/svendaneel/okam/wt-growth	0	0	0	0
/Users/svendaneel/okam/wt-jteardown	4	3	1	0
/Users/svendaneel/okam/wt-jwf	8	5	3	0
/Users/svendaneel/okam/wt-margin	0	0	0	0
/Users/svendaneel/okam/wt-marginui	0	0	0	0
/Users/svendaneel/okam/wt-marketui	0	0	0	0
/Users/svendaneel/okam/wt-meals	0	0	0	0
/Users/svendaneel/okam/wt-meals-enrol-pretick	3	3	0	0
/Users/svendaneel/okam/wt-meals-enrol-ui	3	3	0	0
/Users/svendaneel/okam/wt-meals-reachable-web	3	3	0	0
/Users/svendaneel/okam/wt-merge	0	0	0	0
/Users/svendaneel/okam/wt-mrglagvis	4	3	1	0
/Users/svendaneel/okam/wt-nav	0	0	0	0
/Users/svendaneel/okam/wt-prefcentre-fe	8	3	5	0
/Users/svendaneel/okam/wt-rateui	0	0	0	0
/Users/svendaneel/okam/wt-roster	0	0	0	0
/Users/svendaneel/okam/wt-training	0	0	0	0
/Users/svendaneel/okam/wt-wfinvite	3	3	0	0
/private/tmp/claude-501/-Users-svendaneel-okam/766072d3-8965-4c45-be67-76b407d86aaf/scratchpad/Web-modules	3	3	0	0
/private/tmp/claude-501/-Users-svendaneel-okam/766072d3-8965-4c45-be67-76b407d86aaf/scratchpad/wt-german-ids	3	3	0	0
/private/tmp/claude-501/-Users-svendaneel-okam/766072d3-8965-4c45-be67-76b407d86aaf/scratchpad/wt-offer-subtotal	3	3	0	0
